program_type,number_of_items,start_time,end_time,time_taken
SELSORT,3332,2021-04-01 22:47:49,2021-04-01 22:47:49,0
SELSORT,6993,2021-04-01 22:47:49,2021-04-01 22:47:51,2
SELSORT,6300,2021-04-01 22:47:51,2021-04-01 22:47:53,1
SELSORT,3174,2021-04-01 22:47:53,2021-04-01 22:47:54,0
SELSORT,632,2021-04-01 22:47:54,2021-04-01 22:47:54,0
SELSORT,3473,2021-04-01 22:47:54,2021-04-01 22:47:54,0
SELSORT,4868,2021-04-01 22:47:54,2021-04-01 22:47:55,1
SELSORT,5159,2021-04-01 22:47:55,2021-04-01 22:47:57,1
SELSORT,6305,2021-04-01 22:47:57,2021-04-01 22:47:59,1
SELSORT,8761,2021-04-01 22:47:59,2021-04-01 22:48:02,3
SELSORT,5146,2021-04-01 22:48:02,2021-04-01 22:48:04,1
SELSORT,2231,2021-04-01 22:48:04,2021-04-01 22:48:04,0
SELSORT,1338,2021-04-01 22:48:04,2021-04-01 22:48:04,0
SELSORT,789,2021-04-01 22:48:04,2021-04-01 22:48:04,0
SELSORT,2856,2021-04-01 22:48:04,2021-04-01 22:48:04,0
SELSORT,168,2021-04-01 22:48:04,2021-04-01 22:48:04,0
SELSORT,4867,2021-04-01 22:48:04,2021-04-01 22:48:05,1
SELSORT,1116,2021-04-01 22:48:05,2021-04-01 22:48:05,0
SELSORT,9327,2021-04-01 22:48:05,2021-04-01 22:48:10,4
SELSORT,4586,2021-04-01 22:48:10,2021-04-01 22:48:11,1
SELSORT,9796,2021-04-01 22:48:11,2021-04-01 22:48:16,5
SELSORT,1475,2021-04-01 22:48:16,2021-04-01 22:48:16,0
SELSORT,7038,2021-04-01 22:48:16,2021-04-01 22:48:19,2
SELSORT,9688,2021-04-01 22:48:19,2021-04-01 22:48:24,5
SELSORT,3235,2021-04-01 22:48:24,2021-04-01 22:48:25,0
