program_type,number_of_items,start_time,end_time,time_taken,test_result,max_resident_size
QUICKSORT,3432,2021-04-06 23:47:06,2021-04-06 23:47:06,9.917,True,13800
QUICKSORT,4590,2021-04-06 23:47:06,2021-04-06 23:47:06,14.664,True,13800
QUICKSORT,7034,2021-04-06 23:47:06,2021-04-06 23:47:06,23.496,True,13800
QUICKSORT,4941,2021-04-06 23:47:06,2021-04-06 23:47:06,16.259,True,13800
QUICKSORT,1474,2021-04-06 23:47:06,2021-04-06 23:47:06,4.138,True,13800
QUICKSORT,7204,2021-04-06 23:47:06,2021-04-06 23:47:06,25.618,True,13800
QUICKSORT,2029,2021-04-06 23:47:06,2021-04-06 23:47:06,6.462,True,13800
QUICKSORT,4113,2021-04-06 23:47:06,2021-04-06 23:47:06,12.455,True,13800
QUICKSORT,8419,2021-04-06 23:47:06,2021-04-06 23:47:06,27.309,True,13800
QUICKSORT,4716,2021-04-06 23:47:06,2021-04-06 23:47:06,15.899,True,13800
QUICKSORT,1670,2021-04-06 23:47:06,2021-04-06 23:47:06,4.822,True,13800
QUICKSORT,9845,2021-04-06 23:47:06,2021-04-06 23:47:06,33.313,True,13800
QUICKSORT,3225,2021-04-06 23:47:06,2021-04-06 23:47:06,9.981,True,13800
QUICKSORT,5133,2021-04-06 23:47:06,2021-04-06 23:47:06,17.121,True,13800
QUICKSORT,7935,2021-04-06 23:47:06,2021-04-06 23:47:06,26.948,True,13800
QUICKSORT,1622,2021-04-06 23:47:06,2021-04-06 23:47:06,4.593,True,13800
QUICKSORT,3132,2021-04-06 23:47:06,2021-04-06 23:47:06,8.994,True,13800
QUICKSORT,5558,2021-04-06 23:47:06,2021-04-06 23:47:06,17.474,True,13800
QUICKSORT,9337,2021-04-06 23:47:06,2021-04-06 23:47:06,30.591,True,13800
QUICKSORT,4915,2021-04-06 23:47:06,2021-04-06 23:47:06,15.092,True,13800
QUICKSORT,4036,2021-04-06 23:47:06,2021-04-06 23:47:06,12.461,True,13800
QUICKSORT,9049,2021-04-06 23:47:06,2021-04-06 23:47:07,30.821,True,13800
QUICKSORT,8120,2021-04-06 23:47:07,2021-04-06 23:47:07,28.905,True,13800
QUICKSORT,792,2021-04-06 23:47:07,2021-04-06 23:47:07,2.168,True,13800
QUICKSORT,2881,2021-04-06 23:47:07,2021-04-06 23:47:07,7.738,True,13800
QUICKSORT,562,2021-04-06 23:47:07,2021-04-06 23:47:07,1.294,True,13800
QUICKSORT,5965,2021-04-06 23:47:07,2021-04-06 23:47:07,18.595,True,13800
QUICKSORT,9424,2021-04-06 23:47:07,2021-04-06 23:47:07,31.755,True,13800
QUICKSORT,2197,2021-04-06 23:47:07,2021-04-06 23:47:07,6.621,True,13800
QUICKSORT,415,2021-04-06 23:47:07,2021-04-06 23:47:07,1.119,True,13800
QUICKSORT,8083,2021-04-06 23:47:07,2021-04-06 23:47:07,27.698,True,13800
QUICKSORT,359,2021-04-06 23:47:07,2021-04-06 23:47:07,0.898,True,13800
QUICKSORT,4861,2021-04-06 23:47:07,2021-04-06 23:47:07,14.719,True,13800
QUICKSORT,3400,2021-04-06 23:47:07,2021-04-06 23:47:07,9.268,True,13800
QUICKSORT,7548,2021-04-06 23:47:07,2021-04-06 23:47:07,24.178,True,13800
QUICKSORT,9837,2021-04-06 23:47:07,2021-04-06 23:47:07,31.893,True,13800
QUICKSORT,5327,2021-04-06 23:47:07,2021-04-06 23:47:07,17.070,True,13800
QUICKSORT,6221,2021-04-06 23:47:07,2021-04-06 23:47:07,20.596,True,13800
QUICKSORT,9244,2021-04-06 23:47:07,2021-04-06 23:47:07,31.218,True,13800
QUICKSORT,947,2021-04-06 23:47:07,2021-04-06 23:47:07,2.682,True,13800
